1号记录仪温湿度记录表
序号,时间(单位:秒),温度(单位:℃),湿度(单位:RH%)
1,2021-4-29 7:0:0,21,43.6
2,2021-4-29 7:5:0,21,43.6
3,2021-4-29 7:10:0,21,43.1
4,2021-4-29 7:15:0,21.2,42.8
5,2021-4-29 7:20:0,21.7,48.8
6,2021-4-29 7:25:0,22.4,46.7
7,2021-4-29 7:30:0,23,46
8,2021-4-29 7:35:0,23.5,54.2
9,2021-4-29 7:40:0,23.8,50.9
10,2021-4-29 7:45:0,24,48.9
11,2021-4-29 7:50:0,24.1,47.9
12,2021-4-29 7:55:0,24.2,47.2
13,2021-4-29 8:0:0,24.2,46.7
14,2021-4-29 8:5:0,24.3,46.5
15,2021-4-29 8:10:0,24.3,46.1
16,2021-4-29 8:15:0,24.4,45.9
17,2021-4-29 8:20:0,24.5,45.3
18,2021-4-29 8:25:0,24.5,44.8
19,2021-4-29 8:30:0,24.6,44.6
20,2021-4-29 8:35:0,24.7,44
21,2021-4-29 8:40:0,24.6,44.5
22,2021-4-29 8:45:0,24.6,44.5
23,2021-4-29 8:50:0,24.6,44.6
24,2021-4-29 8:55:0,24.7,44.6
25,2021-4-29 9:0:0,24.7,44.5
26,2021-4-29 9:5:0,24.8,45.8
27,2021-4-29 9:10:0,24.9,45.8
28,2021-4-29 9:15:0,25,46.4
29,2021-4-29 9:20:0,25.1,46.4
30,2021-4-29 9:25:0,25.1,46.7
31,2021-4-29 9:30:0,25.2,46.8
32,2021-4-29 9:35:0,25.2,47
33,2021-4-29 9:40:0,25.2,46.8
34,2021-4-29 9:45:0,25.3,46.2
35,2021-4-29 9:50:0,25.3,45.7
36,2021-4-29 9:55:0,25.3,45
37,2021-4-29 10:0:0,25.3,44.9
38,2021-4-29 10:5:0,25.3,44.5
39,2021-4-29 10:10:0,25.3,44.6
40,2021-4-29 10:15:0,25.3,45.1
41,2021-4-29 10:20:0,25.3,46
42,2021-4-29 10:25:0,25.2,46.2
43,2021-4-29 10:30:0,25.2,45.9
44,2021-4-29 10:35:0,25.2,45.9
45,2021-4-29 10:40:0,25.1,45.9
46,2021-4-29 10:45:0,25.2,45.8
47,2021-4-29 10:50:0,25.1,45.9
48,2021-4-29 10:55:0,25,45.3
49,2021-4-29 11:0:0,25,44.3
50,2021-4-29 11:5:0,24.9,43.7
51,2021-4-29 11:10:0,25,43.3
52,2021-4-29 11:15:0,25,43.1
53,2021-4-29 11:20:0,25,42.7
54,2021-4-29 11:25:0,25,43
55,2021-4-29 11:30:0,25,43.8
56,2021-4-29 11:35:0,25.2,43.7
57,2021-4-29 11:40:0,25.2,43.7
58,2021-4-29 11:45:0,25.2,43.9
59,2021-4-29 11:50:0,25.2,44.1
60,2021-4-29 11:55:0,25.3,44.2
61,2021-4-29 12:0:0,25.4,44.3
